,eastAll,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear
3427,0.0,0.0,0.0,0.0,0.0,0.0
3428,0.83,0.76,0.0,0.0,0.74,0.0
3429,0.94,0.79,0.0,0.0,0.83,0.0
3430,1.41,0.36,0.0,1.41,0.85,0.0
3431,1.61,0.39,0.0,1.61,0.94,0.0
3432,1.6,0.4,0.0,1.5,0.89,0.0
3433,1.9,0.49,0.0,1.8,1.09,0.0
3434,1.29,0.46,0.0,1.65,0.98,0.0
3435,1.37,0.57,0.0,1.48,0.85,0.0
3436,0.0,0.0,0.0,0.0,0.0,0.0
3437,5.48,5.02,0.0,0.0,0.0,0.0
3438,1.68,0.66,0.0,1.45,0.83,0.0
3439,1.8,0.68,0.0,1.55,0.88,0.0
3440,0.54,1.36,0.0,0.01,0.35,0.0
3441,0.63,1.38,0.0,0.11,0.39,0.0
3442,0.0,0.0,0.0,0.0,0.0,0.0
3443,0.0,0.0,0.0,0.0,0.0,0.0
3444,1.42,0.58,0.0,0.0,1.1,0.0
3445,0.0,0.0,0.0,0.0,0.0,0.0
3446,0.0,0.0,0.0,0.0,0.0,0.0
3447,0.91,1.05,0.0,0.92,0.79,0.0
3448,-0.9,3.66,0.0,-0.9,-2.17,0.0
3449,2.4,1.39,0.0,2.2,1.09,0.0
3450,5.59,4.99,0.0,5.47,5.02,0.0
3451,5.72,4.91,0.0,5.59,5.0,0.0
3452,-1.56,-0.24,0.0,0.0,-1.55,0.0
3453,-1.4,-0.19,0.0,0.0,-1.39,0.0
3454,0.0,0.0,0.0,0.0,0.0,0.0
3455,0.0,0.0,0.0,0.0,0.0,0.0
3456,2.75,1.04,0.0,0.0,2.08,0.0
3457,2.2,1.09,0.0,0.0,1.45,0.0
3458,1.91,1.4,0.0,1.83,0.83,0.0
3459,2.23,1.48,0.0,2.14,0.93,0.0
3460,-3.39,3.14,0.0,-2.2,-1.62,0.0
3461,1.72,0.75,0.0,1.67,0.88,0.0
3462,1.83,1.07,0.0,1.33,0.51,0.0
3463,1.65,1.11,0.0,1.44,0.57,0.0
3464,-0.32,1.46,0.0,0.67,0.68,0.0
3465,1.85,1.27,0.0,2.21,1.06,0.0
3466,4.89,7.21,0.0,0.0,6.4,0.0
3467,2.4,1.39,0.0,2.3,1.19,0.0
3468,1.99,1.28,0.0,2.32,1.12,0.0
3469,6.41,6.18,0.0,8.06,2.81,0.0
3470,3.57,0.82,0.0,3.43,1.85,0.0
3471,3.71,0.84,0.0,3.53,1.9,0.0
3472,-0.04,1.52,0.0,0.0,-0.13,0.0
3473,1.57,0.66,0.0,1.7,0.82,0.0
3474,2.04,1.47,0.0,1.83,0.91,0.0
3475,2.14,1.48,0.0,1.92,0.94,0.0
3476,0.0,0.0,0.0,0.0,0.0,0.0
3477,0.0,0.0,0.0,0.0,0.0,0.0
3478,0.0,0.0,0.0,0.0,0.0,0.0
3479,0.0,0.0,0.0,0.0,0.0,0.0
3480,0.0,0.0,0.0,0.0,0.0,0.0
3481,0.0,0.0,0.0,0.0,0.0,0.0
3482,0.9,0.3,0.0,1.0,0.6,0.0
3483,0.75,0.89,0.0,0.67,-0.22,0.0
3484,-3.88,1.9,0.0,-2.08,-0.69,0.0
3485,7.35,5.13,0.0,6.89,5.99,0.0
3486,0.0,0.0,0.0,0.0,0.0,0.0
3487,0.0,0.0,0.0,0.0,0.0,0.0
3488,-5.39,1.58,0.0,-0.8,0.1,0.0
3489,-5.14,1.62,0.0,-0.61,0.19,0.0
3490,-0.1,0.45,0.0,0.45,0.26,0.0
