,_id,eastAll,eastName,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear,eastUrl
3711,5955ba2c2c289c31b3b847ae,-3.30%,博时安祺一年定开债C,0.42%,--,-0.31%,-0.10%,--,http://fund.eastmoney.com/003240.html
3712,5955ba2e2c289c31b3b847b0,-2.90%,博时安祺一年定开债A,0.41%,--,0.00%,0.10%,--,http://fund.eastmoney.com/003239.html
3713,5955ba312c289c31b3b847b2,-2.39%,新华外延增长主题灵活配置混合,1.13%,--,--,-2.41%,--,http://fund.eastmoney.com/003238.html
3714,5955ba332c289c31b3b847b4,2.62%,信诚惠盈债券C,0.97%,--,2.73%,1.89%,--,http://fund.eastmoney.com/003237.html
3715,5955ba352c289c31b3b847b7,2.71%,信诚惠盈债券A,0.98%,--,2.80%,1.92%,--,http://fund.eastmoney.com/003236.html
3716,5955ba372c289c31b3b847b9,0.85%,信诚至利混合C,0.88%,--,2.15%,0.98%,--,http://fund.eastmoney.com/003235.html
3717,5955ba3a2c289c31b3b847bb,0.93%,信诚至利混合A,0.89%,--,2.20%,1.00%,--,http://fund.eastmoney.com/003234.html
3718,5955ba3c2c289c31b3b847bd,1.20%,创金合信鑫价值混合C,1.50%,--,2.22%,1.91%,--,http://fund.eastmoney.com/003233.html
3719,5955ba3d2c289c31b3b847bf,1.30%,创金合信鑫价值混合A,1.50%,--,2.22%,1.91%,--,http://fund.eastmoney.com/003232.html
3720,5955ba402c289c31b3b847c2,1.10%,创金合信鑫动力混合C,1.30%,--,2.02%,1.92%,--,http://fund.eastmoney.com/003231.html
3721,5955ba412c289c31b3b847c4,6.90%,创金合信鑫动力混合A,1.42%,--,7.76%,7.65%,--,http://fund.eastmoney.com/003230.html
3722,5955ba442c289c31b3b847c6,0%,浦银日日鑫货币B,0%,0%,0%,0%,0%,http://fund.eastmoney.com/003229.html
3723,5955ba462c289c31b3b847c8,0%,浦银日日鑫货币A,0%,0%,0%,0%,0%,http://fund.eastmoney.com/003228.html
3724,5955ba482c289c31b3b847ca,0.19%,信诚稳健债券C,1.30%,--,1.59%,1.05%,--,http://fund.eastmoney.com/003227.html
3725,5955ba4a2c289c31b3b847cd,0.29%,信诚稳健债券A,1.31%,--,1.66%,1.09%,--,http://fund.eastmoney.com/003226.html
3726,5955ba4c2c289c31b3b847cf,0.64%,鹏华兴润定期开放混合C,1.47%,--,2.29%,1.23%,--,http://fund.eastmoney.com/003225.html
3727,5955ba4e2c289c31b3b847d1,1.13%,鹏华兴润定期开放混合A,1.54%,--,2.60%,1.39%,--,http://fund.eastmoney.com/003224.html
3728,5955ba502c289c31b3b847d3,2.32%,广发景丰纯债,0.64%,--,2.10%,1.22%,--,http://fund.eastmoney.com/003223.html
3729,5955ba512c289c31b3b847d5,2.05%,新华丰利债券C,1.82%,--,2.04%,1.14%,--,http://fund.eastmoney.com/003222.html
3730,5955ba532c289c31b3b847d8,2.34%,新华丰利债券A,1.85%,--,2.27%,1.25%,--,http://fund.eastmoney.com/003221.html
3731,5955ba542c289c31b3b847da,2.15%,浙商惠利纯债债券,0.46%,--,1.82%,1.00%,--,http://fund.eastmoney.com/003220.html
3732,5955ba562c289c31b3b847dc,3.20%,前海开源祥和债券C,1.03%,--,1.95%,1.23%,--,http://fund.eastmoney.com/003219.html
3733,5955ba572c289c31b3b847de,2.18%,前海开源祥和债券A,1.06%,--,2.09%,1.31%,--,http://fund.eastmoney.com/003218.html
3734,5955ba5a2c289c31b3b847e0,1.17%,信诚至鑫灵活配置混合C,2.34%,--,1.67%,0.78%,--,http://fund.eastmoney.com/003216.html
3735,5955ba5c2c289c31b3b847e2,1.25%,信诚至鑫灵活配置混合A,2.35%,--,1.72%,0.81%,--,http://fund.eastmoney.com/003215.html
3736,5955ba5e2c289c31b3b847e5,0.31%,易方达富惠纯债债券,1.58%,--,1.31%,0.52%,--,http://fund.eastmoney.com/003214.html
3737,5955ba602c289c31b3b847e7,-2.02%,中银悦享定期开放债券,1.01%,--,0.71%,0.56%,--,http://fund.eastmoney.com/003213.html
3738,5955ba632c289c31b3b847e9,1.50%,广发集安债券C,0.40%,--,--,1.00%,--,http://fund.eastmoney.com/003212.html
3739,5955ba652c289c31b3b847eb,1.70%,广发集安债券A,0.49%,--,--,1.09%,--,http://fund.eastmoney.com/003211.html
3740,5955ba682c289c31b3b847ee,2.04%,博时智臻纯债债券,0.71%,--,1.90%,1.00%,--,http://fund.eastmoney.com/003210.html
3741,5955ba6a2c289c31b3b847f0,-3.54%,鹏华丰达债券,1.82%,--,-0.13%,0.17%,--,http://fund.eastmoney.com/003209.html
3742,5955ba6c2c289c31b3b847f2,-9.37%,东兴量化多策略混合,3.95%,--,-5.24%,-3.72%,--,http://fund.eastmoney.com/003208.html
3743,5955ba6e2c289c31b3b847f4,1.42%,博时富发纯债,0.74%,--,1.53%,0.95%,--,http://fund.eastmoney.com/003207.html
3744,5955ba702c289c31b3b847f6,0%,博时合鑫货币,0%,0%,0%,0%,0%,http://fund.eastmoney.com/003206.html
3745,5955ba732c289c31b3b847f9,-0.07%,财通多策略稳健增长债券C,1.25%,--,--,--,--,http://fund.eastmoney.com/003205.html
3746,5955ba762c289c31b3b847fb,1.05%,财通收益增强债券C,1.70%,--,--,--,--,http://fund.eastmoney.com/003204.html
3747,5955ba772c289c31b3b847fd,-0.39%,长盛盛琪一年债券C,0.43%,--,1.09%,0.60%,--,http://fund.eastmoney.com/003200.html
3748,5955ba792c289c31b3b847ff,-0.17%,长盛盛琪一年债券A,0.45%,--,1.24%,0.68%,--,http://fund.eastmoney.com/003199.html
3749,5955ba7c2c289c31b3b84802,1.90%,光大保德信安诚债券C,1.48%,--,--,1.90%,--,http://fund.eastmoney.com/003198.html
3750,5955ba7e2c289c31b3b84804,1.99%,光大保德信安诚债券A,1.51%,--,--,1.99%,--,http://fund.eastmoney.com/003197.html
3751,5955ba802c289c31b3b84806,1.42%,光大保德信永利纯债C,0.43%,--,--,1.02%,--,http://fund.eastmoney.com/003196.html
3752,5955ba822c289c31b3b84808,1.58%,光大保德信永利纯债A,0.47%,--,--,1.12%,--,http://fund.eastmoney.com/003195.html
3753,5955ba842c289c31b3b8480a,-0.25%,汇添富中证上海国企ETF联接,5.49%,--,3.96%,1.98%,--,http://fund.eastmoney.com/003194.html
3754,5955ba862c289c31b3b8480d,0%,创金合信尊智纯债,0%,0%,0%,0%,0%,http://fund.eastmoney.com/003193.html
3755,5955ba892c289c31b3b8480f,2.09%,创金合信尊丰纯债,0.69%,--,2.10%,1.13%,--,http://fund.eastmoney.com/003192.html
3756,5955ba8b2c289c31b3b84811,-0.70%,创金合信鑫回报混合C,1.53%,--,-0.20%,-0.70%,--,http://fund.eastmoney.com/003191.html
3757,5955ba8d2c289c31b3b84813,0.10%,创金合信鑫回报混合A,1.52%,--,-0.10%,-0.60%,--,http://fund.eastmoney.com/003190.html
3758,5955ba8f2c289c31b3b84816,--,汇添富保鑫保本混合,0.90%,2.65%,2.44%,1.82%,--,http://fund.eastmoney.com/003189.html
3759,5955ba912c289c31b3b84818,1.49%,博时聚源纯债债券,0.53%,--,--,1.10%,--,http://fund.eastmoney.com/003188.html
3760,5955ba932c289c31b3b8481a,2.80%,嘉实安益混合,1.08%,--,3.11%,1.98%,--,http://fund.eastmoney.com/003187.html
3761,5955ba952c289c31b3b8481c,1.35%,鹏华兴安定期开放混合,2.83%,--,2.97%,1.53%,--,http://fund.eastmoney.com/003186.html
3762,5955ba972c289c31b3b8481e,0%,建信货币B,0%,0%,0%,0%,0%,http://fund.eastmoney.com/003185.html
3763,5955ba992c289c31b3b84821,0.00%,中证财通可持续发展100指数C,0.00%,--,--,--,--,http://fund.eastmoney.com/003184.html
3764,5955ba9b2c289c31b3b84823,2.24%,华富弘鑫混合C,0.47%,--,2.00%,1.36%,--,http://fund.eastmoney.com/003183.html
3765,5955ba9d2c289c31b3b84825,2.48%,华富弘鑫混合A,0.50%,--,2.21%,1.46%,--,http://fund.eastmoney.com/003182.html
3766,5955ba9f2c289c31b3b84827,1.93%,前海联合添利债券C,0.99%,--,1.68%,0.52%,--,http://fund.eastmoney.com/003181.html
3767,5955baa12c289c31b3b84829,2.20%,前海联合添利债券A,1.04%,--,1.89%,0.64%,--,http://fund.eastmoney.com/003180.html
3768,5955baa32c289c31b3b8482c,1.78%,山西裕利债券,0.73%,--,1.62%,0.88%,--,http://fund.eastmoney.com/003179.html
3769,5955baa52c289c31b3b8482e,-0.43%,广发景盛纯债,1.07%,--,0.96%,0.65%,--,http://fund.eastmoney.com/003178.html
3770,5955baa62c289c31b3b84830,2.18%,德邦景颐债券C,0.92%,--,2.17%,1.53%,--,http://fund.eastmoney.com/003177.html
3771,5955baa92c289c31b3b84832,2.34%,德邦景颐债券A,0.93%,--,2.26%,1.57%,--,http://fund.eastmoney.com/003176.html
3772,5955baab2c289c31b3b84834,13.52%,华泰柏瑞多策略混合,7.31%,--,13.75%,7.98%,--,http://fund.eastmoney.com/003175.html
3773,5955baae2c289c31b3b84837,1.20%,民生加银鑫安纯债C,1.10%,--,1.91%,1.20%,--,http://fund.eastmoney.com/003173.html
3774,5955bab02c289c31b3b84839,2.82%,鹏华丰安债券,1.37%,--,3.11%,2.60%,--,http://fund.eastmoney.com/003172.html
3775,5955bab22c289c31b3b8483b,0%,信达澳银慧理财货币,0%,0%,0%,0%,0%,http://fund.eastmoney.com/003171.html
3776,5955bab62c289c31b3b8483d,2.80%,长盛盛辉混合A,0.97%,--,2.56%,1.48%,--,http://fund.eastmoney.com/003169.html
3777,5955bab92c289c31b3b84840,1.49%,前海开源鼎瑞债券C,1.57%,--,1.76%,1.10%,--,http://fund.eastmoney.com/003168.html
3778,5955babb2c289c31b3b84842,1.83%,前海开源鼎瑞债券A,1.61%,--,1.96%,1.19%,--,http://fund.eastmoney.com/003167.html
3779,5955babd2c289c31b3b84844,0.54%,鹏华弘嘉混合C类,1.46%,--,1.85%,0.77%,--,http://fund.eastmoney.com/003166.html
3780,5955babe2c289c31b3b84846,2.65%,长盛盛辉混合C,0.94%,--,2.46%,1.42%,--,http://fund.eastmoney.com/003170.html
3781,5955babf2c289c31b3b84848,0.76%,鹏华弘嘉混合A类,1.49%,--,1.96%,0.83%,--,http://fund.eastmoney.com/003165.html
3782,5955bac12c289c31b3b8484b,0%,建信现金添利货币B,0%,0%,0%,0%,0%,http://fund.eastmoney.com/003164.html
